country,director,genres,id_IMDb,name,rating_IMDb,year
СССР,Валентин Горлов,комедия,0338055,"Где это видано, где это слыхано",6.8,1973
США,Уильям Хэйл,мелодрама,0091174,"Гарем (фильм, 1986)",5.9,1986
СССР,Витаутас Жалакявичюс,"детектив,драма",1753465,"Авария (фильм, 1974)",6.8,1974
США,Кевин Коннор,комедия,4041278,Гангстер с печеньем,5.8,2014
СССР,"А,Белинский",фильм-балет,0076063,Галатея (фильм-балет),8.1,1977
Великобритания,Расселл Барнс,документальный фильм,1279086,Гений Чарльза Дарвина,8.5,2008
СССР,Светлана Дружинина,"историко,приключенческий фильм,фильм плаща и шпаги,мелодрама",0125111,"Гардемарины, вперёд!",7.4,1988
СССР,Леонид Быков,комедия,2312500,"Где вы, рыцари?",5.9,1971
Австралия,Майкл Раймер,драматический сериал,3458030,Галлиполийская история,7.2,2015
США,Герд Освальд,фантастика,0667817,Выползшее из деревянных вещей,7.2,1963
Сербия,Зоран Чалич,комедийный фильм,0180659,Вторая Жикина династия,7.5,1986
СССР,Сергей Колосов,"военно,исторический фильм,драма",0056793,Вызываем огонь на себя (фильм),7.1,1965
СССР,Георгий Юнгвальд-Хилькевич,"сказка,музыкальный фильм",0367210,Выше Радуги,7.0,1986
СССР,Михаил Григорьев,"музыкальная ,комедия",0337388,"Вчера, сегодня и всегда (фильм, 1969)",6.8,1969
Россия,Бахтиёр Худойназаров,военная драма,3792248,Гетеры майора Соколова,5.6,2014
"Канада,США",Майкл Койш,комедия,0107292,Всё что угодно ради любви,5.6,1993
Великобритания,Расселл Барнс,документальный,1092058,Враги разума,8.2,2007
СССР,Сергей Ашкенази,драма,0084877,Время для размышлений,6.9,1982
США,Дэвид Друри,триллер,0119320,Враждебные воды,6.3,1997
"США,Канада",Пол Зиллер,"фантастика,триллер",0470023,"Враги (фильм, 2006)",4.0,2006
США,Пол Стенли,фантастика,0667823,Второй шанс (За гранью возможного),7.2,1964
СССР,Виталий Четвериков,приключенческий фильм,4842444,Время-не-ждёт (телефильм),6.5,1976
Россия,Андрей Зайцев,документальный,unknown,Виктор Астафьев. Весёлый солдат,unknown,2010
США,Барри Левинсон,"драма,биография",1132623,Вы не знаете Джека,7.5,unknown
